"Index","ID","Normal","Direct","SDWZ","SQDlWZ","SQDmWZ","SQDrWZ","ConlQD","ConmQD","ConrQD","ConlXH","ConmXH","ConrXH","YH"
"101","1DC","True","0","103","0","101","0","308","103","309","201","0","205","0"
"103","3DC","True","1","101","0","103","0","105","101","109","0","0","207","0"
"105","5DC","True","0","107","0","105","0","307","107","103","203","0","0","0"
"107","7DC","True","1","105","0","107","0","381","105","113","265","0","211","0"
"109","9DC","True","0","111","109","0","115","103","111","115","209","0","0","0"
"111","11DC","True","1","109","113","0","111","113","109","121","0","0","225","0"
"113","13DC","True","0","115","113","0","111","107","115","111","211","0","0","0"
"115","15DC","True","1","113","109","0","115","109","113","117","0","0","213","0"
"117","17DC","True","0","119","117","0","123","115","119","123","213","0","0","0"
"119","19DC","True","1","117","0","119","0","309","117","127","215","0","0","0"
"121","21DC","True","0","0","0","121","0","111","305","125","225","285","0","0"
"123","23DC","True","0","125","117","0","123","117","125","301","0","0","281","0"
"125","25DC","True","1","123","0","125","0","121","123","303","0","0","283","0"
"127","27DC","True","0","0","0","127","0","119","306","302","0","284","282","0"
"129","29DC","True","0","0","0","129","0","306","310","304","217","221","219","0"
"102","2DC","True","1","104","0","102","0","312","104","314","206","0","202","1"
"104","4DC","True","0","102","0","104","0","106","102","361","208","0","263","1"
"106","6DC","True","1","108","112","0","106","112","108","104","0","0","208","1"
"108","8DC","True","0","106","108","0","110","114","106","110","0","0","0","1"
"110","10DC","True","1","112","108","0","110","108","112","313","0","0","204","1"
"112","12DC","True","0","110","112","0","106","116","110","106","210","0","0","1"
"114","14DC","True","1","0","0","114","0","302","304","108","292","294","0","1"
"116","16DC","True","1","0","118","0","116","301","118","112","291","0","212","1"
"118","18DC","True","1","120","118","0","116","303","120","116","293","0","0","1"
"120","20DC","True","0","118","0","120","0","122","118","312","216","0","214","1"
"122","22DC","True","1","0","0","122","0","305","311","120","295","218","216","1"
